Sensor,Aggregate Rating,Price,Daily Average
Bourke St-Russell St (West),3.7210526315789467,2.3421052631578947,665.9449041379509
Chinatown-Lt Bourke St (South),3.6358974358974363,2.8974358974358974,424.210388127854
Collins Street (North),3.492592592592593,2.5925925925925926,719.7712428032561
Flinders St-Spark La,3.7591836734693875,2.836734693877551,147.41448469636367
Lygon St (East),3.3724137931034486,2.7758620689655173,144.74282376646582
QVM-Franklin St (North),3.7907407407407394,1.962962962962963,132.53898649990072
Southbank,3.460714285714286,2.857142857142857,1251.4704685328554
Spencer St-Collins St (North),2.8230769230769233,2.076923076923077,1406.2901509722165
Town Hall (West),3.2615384615384615,2.1538461538461537,1448.1070925153854
