Hour,Collins St (North),Bourke St-Russell St (West),Chinatown-Lt Bourke St (South)
0,86.48219178082192,367.4356164383562,197.97260273972603
1,51.78904109589041,277.3333333333333,111.23351648351648
2,30.906593406593405,194.25138121546962,72.46831955922865
3,25.04945054945055,161.5702479338843,60.63186813186813
4,19.25068870523416,110.2032967032967,41.222527472527474
5,40.602739726027394,87.11813186813187,33.887362637362635
6,140.95068493150686,93.99725274725274,31.89010989010989
7,354.43013698630136,156.20054945054946,86.54395604395604
8,715.5753424657535,292.4258241758242,150.8434065934066
9,829.9671232876713,331.6126373626374,182.37362637362637
10,1078.158904109589,491.74520547945207,292.4697802197802
11,1341.213698630137,704.1424657534246,477.91483516483515
12,1943.1123287671232,1279.2739726027398,838.2857142857143
13,2003.6986301369864,1339.331506849315,849.3379120879121
14,1646.0602739726028,1078.827397260274,602.4560439560439
15,1481.2301369863014,1031.8602739726027,553.5494505494505
16,1386.676712328767,1065.4246575342465,521.271978021978
17,1369.0465753424658,1262.9835616438356,715.972602739726
18,937.7095890410959,1271.7150684931507,931.427397260274
19,575.668493150685,1176.2630136986302,967.2246575342466
20,451.5972602739726,1047.1205479452055,858.3260273972603
21,352.35616438356163,883.4602739726027,672.654794520548
22,251.1068493150685,725.427397260274,555.5506849315068
23,154.2958904109589,529.6054794520549,364.8301369863014
