Hour,Town Hall (West),Spencer St-Collins St (North),Southbank
0,363.6657534246575,216.15151515151516,286.9972602739726
1,221.07123287671232,98.73002754820936,155.05753424657533
2,136.73626373626374,57.47513812154696,73.51098901098901
3,95.95342465753424,47.09366391184573,42.704109589041096
4,68.69589041095891,46.349862258953166,35.64931506849315
5,93.88219178082191,243.0,114.3013698630137
6,192.0849315068493,785.4435261707989,521.7534246575342
7,426.7808219178082,1765.4917127071824,909.4246575342465
8,862.7561643835617,3201.1243093922653,1712.8794520547945
9,1070.8438356164384,2292.198347107438,1229.9397260273972
10,1572.194520547945,1609.7197802197802,1195.9945205479453
11,2150.019178082192,1607.6546961325967,1467.6054794520549
12,3014.076712328767,2176.839779005525,2342.301369863014
13,3268.8356164383563,2132.465564738292,2363.797260273973
14,3011.690410958904,1864.0192837465565,1895.8109589041096
15,2967.2,2180.931129476584,1852.509589041096
16,2984.476712328767,3047.997245179063,2077.041095890411
17,3163.5095890410958,3800.396694214876,2794.904109589041
18,2620.0054794520547,2359.402203856749,2402.6876712328767
19,1946.0328767123287,1341.732782369146,1865.5397260273974
20,1612.6,947.8760330578513,1576.0794520547945
21,1344.9205479452055,810.0523415977962,1356.9479452054795
22,951.7698630136987,701.0633608815427,1097.054794520548
23,611.8657534246576,446.73553719008265,661.4794520547945
