,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
0,Soul Cafe,3.0,Cafe,3,-37.813075076,144.9652812257,1,Bourke Street Mall (North)
1,Song Tea,3.5,Beverages,1,-37.8138103604,144.9656000733,1,Bourke Street Mall (North)
2,Sensory Lab - Bourke Street,3.4,Cafe,2,-37.8133982206,144.9644993618,1,Bourke Street Mall (North)
3,SamSam,4.0,Restaurant,3,-37.8128854265,144.9652101472,1,Bourke Street Mall (North)
4,Boost Juice,3.7,Beverages,1,-37.8137979115,144.965848513,1,Bourke Street Mall (North)
5,The Tasty Spicy Hot Pot,3.2,Restaurant,2,-37.8128708585,144.9653952196,1,Bourke Street Mall (North)
6,Mister Close,4.3,Cafe,2,-37.8131646031,144.9658857286,1,Bourke Street Mall (North)
8,Superhiro,3.4,Restaurant,3,-37.8127556382,144.9651477858,1,Bourke Street Mall (North)
10,Instea,3.5,Beverages,1,-37.812835,144.965579,1,Bourke Street Mall (North)
12,"Louden Kitchen & Grill - The Swanston Hotel Melbourne, Grand Mercure",2.9,Restaurant,4,-37.812888605,144.9645935744,1,Bourke Street Mall (North)
13,David Jones Foodhall - Espresso Bar,3.4,Bakery,1,-37.8142288547,144.9649174511,1,Bourke Street Mall (North)
14,Pink. The Restaurant,2.2,Restaurant,4,-37.8140696682,144.9657834694,1,Bourke Street Mall (North)
16,Rozzi's Italian Canteen,3.0,Cafe,2,-37.8141165501,144.965801239,1,Bourke Street Mall (North)
17,Sushi Jin,3.0,Restaurant,2,-37.8129240981,144.9659239501,1,Bourke Street Mall (North)
19,Da Hu The Great Tiger 大虎,4.0,Restaurant,3,-37.812662,144.964924,1,Bourke Street Mall (North)
21,Felt Restaurant - Hotel Lindrum,3.9,Restaurant,4,-37.815514518,144.97373119,34,Flinders St-Spark La
22,Cumulus Up,4.4,Restaurant,4,-37.8149021488,144.9732520804,34,Flinders St-Spark La
23,Hihou,4.3,Restaurant,3,-37.8144494903,144.9741905183,34,Flinders St-Spark La
24,Denton Wine Bar,3.4,Bar,3,-37.8144396902,144.9743142352,34,Flinders St-Spark La
25,Fonda,4.2,Restaurant,3,-37.814732634,144.9732436985,34,Flinders St-Spark La
26,Cumulus Inc.,4.7,Restaurant,4,-37.814794348,144.9731357396,34,Flinders St-Spark La
27,Tom Thumb,3.9,Cafe,1,-37.8148330186,144.9728956819,34,Flinders St-Spark La
28,Kenzan Japanese,4.6,Restaurant,4,-37.8146303951,144.9727967754,34,Flinders St-Spark La
29,Di Stasio Citta,3.2,Restaurant,4,-37.8140725818,144.9742099643,34,Flinders St-Spark La
30,Cecconi's Flinders Lane Restaurant,4.4,Restaurant,4,-37.8149302247,144.972592257,34,Flinders St-Spark La
31,EARL Canteen,3.9,Cafe,2,-37.8143724136,144.9730649963,34,Flinders St-Spark La
32,Great Space Cafe,3.6,Cafe,3,-37.8144706798,144.9729292095,34,Flinders St-Spark La
33,Roll'd - Collins Place,3.3,Restaurant,2,-37.8143800948,144.9729463086,34,Flinders St-Spark La
34,Sofi's Lounge,3.6,Desserts,4,-37.8142542821,144.9729479849,34,Flinders St-Spark La
35,Nashi,3.2,Cafe,2,-37.8143366563,144.9728306383,34,Flinders St-Spark La
36,O-Bento,3.0,Restaurant,2,-37.814276796,144.9729100987,34,Flinders St-Spark La
37,Pokéd,3.8,Restaurant,2,-37.8145689458,144.9725074321,34,Flinders St-Spark La
38,Schnitz,3.6,Fast Food,2,-37.8144174412,144.9726418778,34,Flinders St-Spark La
39,5 & Dime Bagels,3.7,Cafe,2,-37.8143236778,144.9726995453,34,Flinders St-Spark La
40,Hero Tang Tea 黑泷堂,3.4,Beverages,1,-37.8087093067,144.9604592845,26,QV Market-Elizabeth St (West)
41,Menya Ramen - Elizabeth Street,3.8,Restaurant,3,-37.8087498347,144.9604448676,26,QV Market-Elizabeth St (West)
42,Rose Garden BBQ,4.6,Restaurant,2,-37.8088110239,144.9604656547,26,QV Market-Elizabeth St (West)
43,Malaysian Laksa House,3.8,Restaurant,3,-37.8085646772,144.9603898823,26,QV Market-Elizabeth St (West)
44,Dragon Hot Pot,4.0,Restaurant,2,-37.8088743323,144.9605139345,26,QV Market-Elizabeth St (West)
47,Parco Project x Shujinko,3.9,Restaurant,3,-37.8089688973,144.9605876952,26,QV Market-Elizabeth St (West)
48,Kicks,3.4,Pub,3,-37.8084155443,144.960655421,26,QV Market-Elizabeth St (West)
49,Hui Lau Shan 许留山,4.0,Desserts,2,-37.8090083656,144.9606185406,26,QV Market-Elizabeth St (West)
50,Tea Bag 芝士嘟嘟,3.7,Beverages,1,-37.8090563103,144.9606336281,26,QV Market-Elizabeth St (West)
51,Biang Biang古城秦味,3.9,Restaurant,3,-37.809082,144.960457,26,QV Market-Elizabeth St (West)
52,Pie Face,2.9,Bakery,1,-37.8091352468,144.9606788904,26,QV Market-Elizabeth St (West)
53,NeNe Chicken,3.2,Restaurant,2,-37.8090133985,144.9609286711,26,QV Market-Elizabeth St (West)
54,Torasan Ramen,3.2,Restaurant,2,-37.8091090229,144.9609977379,26,QV Market-Elizabeth St (West)
55,Happy Lemon - Elizabeth Street,3.9,Cafe,1,-37.8080248307,144.9604512379,26,QV Market-Elizabeth St (West)
57,Once For All,3.7,Beverages,1,-37.8080364859,144.9601696059,26,QV Market-Elizabeth St (West)
58,Ichigo,3.6,Cafe,1,-37.8086573884,144.9595429748,26,QV Market-Elizabeth St (West)
59,Sarawak Kitchen,4.2,Restaurant,2,-37.8079718524,144.9601300433,26,QV Market-Elizabeth St (West)
60,Pad Thai Restaurant,4.1,Restaurant,2,-37.8129060867,144.9659333378,1,Bourke Street Mall (North)
61,David Jones Foodhall - Juice Bar,3.7,Beverages,1,-37.8143260616,144.964902699,1,Bourke Street Mall (North)
62,Starbucks,3.5,Cafe,1,-37.8134416596,144.9663142115,1,Bourke Street Mall (North)
63,The Salon Bar & Cafe,3.9,Cafe,3,-37.8134959583,144.9639575556,1,Bourke Street Mall (North)
64,Yifang Taiwan Fruit Tea - Swanston 一芳臺灣水果茶,3.1,Beverages,1,-37.8141811783,144.9660050869,1,Bourke Street Mall (North)
65,8bit.- CBD,4.1,Restaurant,3,-37.8125281108,144.965072684,1,Bourke Street Mall (North)
66,Gongcha,3.0,Beverages,1,-37.8142185248,144.9660060927,1,Bourke Street Mall (North)
67,CoCo Fresh Tea & Juice,3.3,Beverages,1,-37.8134270917,144.966413118,1,Bourke Street Mall (North)
68,The Grand BBQ,4.1,Restaurant,2,-37.8129635643,144.9662548676,1,Bourke Street Mall (North)
70,Gloria Jean's Coffees,2.4,Cafe,1,-37.8131958581,144.966416806,1,Bourke Street Mall (North)
71,The Cultured Salad,3.5,Cafe,2,-37.8144727987,144.9646680057,1,Bourke Street Mall (North)
72,Tsujiri,3.7,Cafe,1,-37.8142781203,144.966047667,1,Bourke Street Mall (North)
74,Gopal's Vegetarian,4.4,Restaurant,2,-37.8143541377,144.9659447372,1,Bourke Street Mall (North)
75,Brunetti,4.0,Desserts,2,-37.8135505219,144.9638036639,1,Bourke Street Mall (North)
76,A Little Joy 勿相忘,3.7,Restaurant,2,-37.8127672927,144.9661479145,1,Bourke Street Mall (North)
78,Liji Malatang,3.7,Restaurant,2,-37.812756168,144.9661455676,1,Bourke Street Mall (North)
79,Dainty Sichuan - Tina's Noodle Kitchen,3.7,Restaurant,3,-37.8124060032,144.9650173634,1,Bourke Street Mall (North)
81,No35,4.4,Restaurant,4,-37.814177735,144.9728671834,34,Flinders St-Spark La
82,Asian Pavilion,2.9,Restaurant,2,-37.8143599648,144.9726341665,34,Flinders St-Spark La
83,The Bar at Kino Cinema,3.5,Bar,3,-37.8142934827,144.9726800993,34,Flinders St-Spark La
84,Guzman y Gomez,3.8,Restaurant,2,-37.8143528133,144.9725865573,34,Flinders St-Spark La
86,Mugs Alley,3.9,Cafe,3,-37.8162084596,144.975952059,34,Flinders St-Spark La
87,Vacation Coffee,4.1,Cafe,2,-37.8159594889,144.9721560627,34,Flinders St-Spark La
88,Roozervelts,3.2,Beverages,2,-37.8143573161,144.9724554643,34,Flinders St-Spark La
89,Rush Sushi,3.3,Fast Food,1,-37.8144976963,144.9723310769,34,Flinders St-Spark La
90,The Fair Trader,3.9,Cafe,3,-37.8155513341,144.9720055237,34,Flinders St-Spark La
91,Top Juice,3.4,Beverages,2,-37.8145318643,144.9722610042,34,Flinders St-Spark La
92,Bon,3.3,Cafe,2,-37.8159865049,144.9720903486,34,Flinders St-Spark La
93,Bean Republic,3.3,Cafe,1,-37.8143483106,144.9722868204,34,Flinders St-Spark La
94,Uncle Collins Street,4.0,Restaurant,4,-37.8137028229,144.9733245,34,Flinders St-Spark La
95,Howitt House,3.6,Cafe,1,-37.8135921067,144.973744601,34,Flinders St-Spark La
96,Laneway Greens,3.0,Restaurant,2,-37.8147143581,144.9719978124,34,Flinders St-Spark La
97,Mamasita,4.4,Restaurant,4,-37.8136270697,144.9734364823,34,Flinders St-Spark La
98,Bluebag,3.3,Cafe,2,-37.8150078305,144.9717584252,34,Flinders St-Spark La
100,David's Spicy Pot大味麻辣烫 - Elizabeth Street,4.4,Restaurant,3,-37.8079175496,144.9604297802,26,QV Market-Elizabeth St (West)
101,Jojo Little Kitchen,4.1,Restaurant,2,-37.8089304886,144.9595439807,26,QV Market-Elizabeth St (West)
102,Pelicana Chicken,3.2,Restaurant,3,-37.8089945914,144.9595563859,26,QV Market-Elizabeth St (West)
103,Da Long Yi Hotpot 大龙燚火锅,3.9,Restaurant,3,-37.80936199,144.9611090496,26,QV Market-Elizabeth St (West)
104,Cupanda Kitchen 每客美味,3.7,Restaurant,3,-37.8094660903,144.9601176381,26,QV Market-Elizabeth St (West)
105,Mala 1+1 (麻辣 1+1),3.5,Restaurant,2,-37.8079186092,144.9600710347,26,QV Market-Elizabeth St (West)
106,Chef David 大味江湖,4.1,Restaurant,4,-37.80785,144.960397,26,QV Market-Elizabeth St (West)
107,Daboba,4.1,Beverages,1,-37.8090382979,144.9595104531,26,QV Market-Elizabeth St (West)
108,Plus 852 Cafe,3.5,Cafe,3,-37.8088496976,144.9594195932,26,QV Market-Elizabeth St (West)
109,YOI,4.2,Restaurant,2,-37.8088195004,144.9593857303,26,QV Market-Elizabeth St (West)
110,HongKongBoi,3.9,Restaurant,2,-37.8087495698,144.9593421444,26,QV Market-Elizabeth St (West)
111,Sushi Hub,3.3,Restaurant,3,-37.8078213938,144.9600666761,26,QV Market-Elizabeth St (West)
112,B'Churrasco,4.4,Restaurant,4,-37.8090780311,144.9616310746,26,QV Market-Elizabeth St (West)
113,Gotcha,3.3,Beverages,2,-37.8095346958,144.9611529708,26,QV Market-Elizabeth St (West)
114,Mary's,3.2,Bar,3,-37.808952,144.959278,26,QV Market-Elizabeth St (West)
115,The Borek Bakehouse,4.4,Bakery,1,-37.8077111987,144.9600053206,26,QV Market-Elizabeth St (West)
116,Chickcha,3.7,Cafe,2,-37.8090732631,144.9617665261,26,QV Market-Elizabeth St (West)
117,Damiao Panda Fan 大妙火锅 · 川菜,3.0,Restaurant,3,-37.809614,144.961199,26,QV Market-Elizabeth St (West)
118,Mansae Korean BBQ & Bar,4.5,Restaurant,4,-37.8095630386,144.9596073479,26,QV Market-Elizabeth St (West)
119,The Orient Hot Pot,3.8,Restaurant,4,-37.8090205504,144.9618624151,26,QV Market-Elizabeth St (West)
